Designator,Mid X,Mid Y,Rotation,Layer
+3.3,260.0501,-36.9316,180.0,top
+5,264.6885,-36.9112,180.0,top
+Var1,255.4732,-36.9316,180.0,top
AFF1,198.6836,-24.0842,90.0,top
AFF2,213.07,-24.0588,90.0,top
C1,37.973,-19.05,0.0,bottom
C11,212.4338,-148.6204,270.0,top
C12,186.9576,-148.6712,270.0,top
C13,119.4562,-134.6108,90.0,top
C15,119.507,-145.2026,90.0,top
C16,15.3308,-83.8708,0.0,top
C17,160.2486,-147.0914,0.0,top
C18,127.0008,-161.7372,180.0,top
C19,160.3432,-157.734,0.0,top
C2,39.838,-61.9252,180.0,top
C20,160.3432,-152.4508,0.0,top
C21,185.801,-32.43,270.0,top
C22,235.7374,-32.2776,270.0,top
C23,22.479,-159.258,180.0,top
C24,23.241,-83.8962,0.0,top
C25,36.7792,-111.2266,270.0,top
C3,22.2612,-127.6096,180.0,top
C4,33.8836,-165.9636,270.0,top
C5,22.9254,-61.9506,0.0,top
C6,35.8847,-81.2038,0.0,top
C7,31.0896,-155.067,0.0,top
C8,168.148,-51.7544,270.0,top
C9,79.7052,-75.4218,270.0,top
D1,21.1582,-30.6324,0.0,top
D10,76.5763,-25.8252,90.0,top
D11,83.312,-25.8014,90.0,top
D12,89.9922,-25.8014,90.0,top
D13,96.6724,-25.8014,90.0,top
D14,103.378,-25.776,90.0,top
D15,186.9576,-159.0852,270.0,top
D16,212.383,-159.0852,270.0,top
D17,122.174,-114.4778,180.0,top
D18,255.1938,-161.8234,90.0,top
D19,230.2002,-159.126,270.0,top
D2,17.145,-146.685,270.0,top
D20,26.67,-90.932,0.0,top
D21,17.272,-66.926,270.0,top
D22,17.272,-104.394,270.0,top
D3,25.908,-137.7852,0.0,top
D4,36.449,-68.4022,180.0,top
D5,21.4376,-143.1954,90.0,top
D7,56.4642,-25.903,90.0,top
D8,63.1698,-25.8776,90.0,top
D9,69.8754,-25.8318,90.0,top
F1,12.319,-8.89,0.0,top
GND1,250.8963,-36.9316,180.0,top
HS1,31.242,-56.618,180.0,bottom
HS2,31.0838,-129.4286,0.0,top
